Random seed: "--seed={ 0xe0b55206, 0x2d753027, 0xe4e071ba, 0x95eae222, 0x2e030bba, 0x7126a020, 0xd34875e8, 0x9db04630, 0xc48eda55, 0xd0e42016, 0xff057a18, 0x1b9242a2 }"
# variant=lvl1 response_length=126 max_candidates=0
pair,candidate_space,candidate_space_overflow,candidates,responses,odd_degree,even_degree,invalid,odd_percent,complete
250,375,0,375,66,36,30,0,54.54545455,1
251,297,0,297,50,16,34,0,32.00000000,1
252,125,0,125,68,32,36,0,47.05882353,1
253,225,0,225,64,20,44,0,31.25000000,1
254,135,0,135,60,16,44,0,26.66666667,1
255,375,0,375,60,22,38,0,36.66666667,1
256,225,0,225,72,24,48,0,33.33333333,1
257,225,0,225,66,22,44,0,33.33333333,1
258,297,0,297,60,14,46,0,23.33333333,1
259,225,0,225,60,22,38,0,36.66666667,1
260,125,0,125,60,16,44,0,26.66666667,1
261,225,0,225,62,26,36,0,41.93548387,1
262,225,0,225,58,20,38,0,34.48275862,1
263,315,0,315,60,20,40,0,33.33333333,1
264,189,0,189,62,28,34,0,45.16129032,1
265,225,0,225,62,26,36,0,41.93548387,1
266,375,0,375,52,24,28,0,46.15384615,1
267,195,0,195,84,32,52,0,38.09523810,1
268,135,0,135,66,22,44,0,33.33333333,1
269,189,0,189,64,30,34,0,46.87500000,1
270,375,0,375,62,26,36,0,41.93548387,1
271,243,0,243,56,18,38,0,32.14285714,1
272,225,0,225,58,20,38,0,34.48275862,1
273,375,0,375,58,20,38,0,34.48275862,1
274,375,0,375,56,26,30,0,46.42857143,1
275,315,0,315,68,30,38,0,44.11764706,1
276,375,0,375,66,28,38,0,42.42424242,1
277,375,0,375,60,22,38,0,36.66666667,1
278,63,0,63,50,16,34,0,32.00000000,1
279,189,0,189,64,22,42,0,34.37500000,1
280,125,0,125,60,32,28,0,53.33333333,1
281,189,0,189,62,26,36,0,41.93548387,1
282,189,0,189,60,24,36,0,40.00000000,1
283,405,0,405,52,28,24,0,53.84615385,1
284,315,0,315,54,26,28,0,48.14814815,1
285,189,0,189,66,26,40,0,39.39393939,1
286,315,0,315,54,28,26,0,51.85185185,1
287,135,0,135,68,28,40,0,41.17647059,1
288,225,0,225,68,26,42,0,38.23529412,1
289,175,0,175,92,44,48,0,47.82608696,1
290,189,0,189,58,30,28,0,51.72413793,1
291,135,0,135,62,22,40,0,35.48387097,1
292,225,0,225,62,24,38,0,38.70967742,1
293,225,0,225,62,24,38,0,38.70967742,1
294,225,0,225,66,28,38,0,42.42424242,1
295,135,0,135,64,24,40,0,37.50000000,1
296,165,0,165,54,12,42,0,22.22222222,1
297,225,0,225,58,20,38,0,34.48275862,1
298,225,0,225,64,22,42,0,34.37500000,1
299,189,0,189,70,26,44,0,37.14285714,1
300,375,0,375,56,22,34,0,39.28571429,1
301,105,0,105,64,30,34,0,46.87500000,1
302,189,0,189,68,24,44,0,35.29411765,1
303,243,0,243,66,24,42,0,36.36363636,1
304,375,0,375,58,26,32,0,44.82758621,1
305,135,0,135,60,22,38,0,36.66666667,1
306,315,0,315,58,20,38,0,34.48275862,1
307,135,0,135,64,24,40,0,37.50000000,1
308,315,0,315,62,22,40,0,35.48387097,1
309,225,0,225,62,28,34,0,45.16129032,1
310,135,0,135,62,24,38,0,38.70967742,1
311,135,0,135,68,22,46,0,32.35294118,1
312,225,0,225,62,26,36,0,41.93548387,1
313,165,0,165,54,16,38,0,29.62962963,1
314,225,0,225,60,24,36,0,40.00000000,1
315,375,0,375,68,22,46,0,32.35294118,1
316,375,0,375,64,26,38,0,40.62500000,1
317,189,0,189,66,32,34,0,48.48484848,1
318,297,0,297,74,28,46,0,37.83783784,1
319,189,0,189,48,32,16,0,66.66666667,1
320,315,0,315,56,20,36,0,35.71428571,1
321,225,0,225,62,26,36,0,41.93548387,1
322,189,0,189,54,20,34,0,37.03703704,1
323,135,0,135,62,26,36,0,41.93548387,1
324,441,0,441,48,14,34,0,29.16666667,1
325,375,0,375,58,22,36,0,37.93103448,1
326,375,0,375,60,26,34,0,43.33333333,1
