Random seed: "--seed={ 0xe1e60b91, 0x7e2fedf4, 0xc43dcfec, 0xa9496d39, 0xc226c56e, 0x3f13ae3c, 0x7b642335, 0xe6af4bcd, 0x0b13760c, 0x702c4fd7, 0xc4b13aba, 0x2af7421f }"
# variant=lvl1 response_length=156 max_candidates=1000000 max_responses=10000
pair,candidate_space,candidate_space_overflow,candidates,responses,odd_degree,even_degree,invalid,odd_percent,complete
223,>=18446744073709551615,1,38553,10000,3748,6252,0,37.48000000,0
224,>=18446744073709551615,1,41574,10000,3709,6291,0,37.09000000,0
225,>=18446744073709551615,1,37479,10000,3726,6274,0,37.26000000,0
226,>=18446744073709551615,1,40312,10000,3778,6222,0,37.78000000,0
227,>=18446744073709551615,1,38175,10000,3755,6245,0,37.55000000,0
228,>=18446744073709551615,1,34581,10000,3663,6337,0,36.63000000,0
229,>=18446744073709551615,1,40875,10000,3815,6185,0,38.15000000,0
230,>=18446744073709551615,1,37731,10000,3722,6278,0,37.22000000,0
231,>=18446744073709551615,1,41247,10000,3822,6178,0,38.22000000,0
232,>=18446744073709551615,1,37651,10000,3796,6204,0,37.96000000,0
233,>=18446744073709551615,1,39048,10000,3733,6267,0,37.33000000,0
234,>=18446744073709551615,1,38333,10000,3796,6204,0,37.96000000,0
235,>=18446744073709551615,1,35857,10000,3822,6178,0,38.22000000,0
236,>=18446744073709551615,1,36474,10000,3760,6240,0,37.60000000,0
237,>=18446744073709551615,1,41442,10000,3660,6340,0,36.60000000,0
238,>=18446744073709551615,1,40226,10000,3750,6250,0,37.50000000,0
239,>=18446744073709551615,1,40959,10000,3760,6240,0,37.60000000,0
240,>=18446744073709551615,1,35965,10000,3682,6318,0,36.82000000,0
241,>=18446744073709551615,1,34989,10000,3707,6293,0,37.07000000,0
242,>=18446744073709551615,1,36852,10000,3795,6205,0,37.95000000,0
243,>=18446744073709551615,1,40712,10000,3739,6261,0,37.39000000,0
244,>=18446744073709551615,1,38178,10000,3736,6264,0,37.36000000,0
245,>=18446744073709551615,1,41616,10000,3783,6217,0,37.83000000,0
246,>=18446744073709551615,1,36077,10000,3773,6227,0,37.73000000,0
247,>=18446744073709551615,1,34820,10000,3622,6378,0,36.22000000,0
248,>=18446744073709551615,1,37735,10000,3774,6226,0,37.74000000,0
249,>=18446744073709551615,1,37282,10000,3575,6425,0,35.75000000,0
250,>=18446744073709551615,1,42936,10000,3786,6214,0,37.86000000,0
251,>=18446744073709551615,1,38547,10000,3672,6328,0,36.72000000,0
252,>=18446744073709551615,1,35690,10000,3663,6337,0,36.63000000,0
253,>=18446744073709551615,1,36094,10000,3759,6241,0,37.59000000,0
254,>=18446744073709551615,1,36487,10000,3696,6304,0,36.96000000,0
255,>=18446744073709551615,1,33971,10000,3667,6333,0,36.67000000,0
256,>=18446744073709551615,1,39961,10000,3731,6269,0,37.31000000,0
257,>=18446744073709551615,1,38567,10000,3707,6293,0,37.07000000,0
258,>=18446744073709551615,1,39731,10000,3707,6293,0,37.07000000,0
259,>=18446744073709551615,1,37348,10000,3677,6323,0,36.77000000,0
260,>=18446744073709551615,1,36873,10000,3773,6227,0,37.73000000,0
261,>=18446744073709551615,1,37389,10000,3728,6272,0,37.28000000,0
262,>=18446744073709551615,1,41670,10000,3747,6253,0,37.47000000,0
263,>=18446744073709551615,1,33700,10000,3740,6260,0,37.40000000,0
264,>=18446744073709551615,1,39589,10000,3800,6200,0,38.00000000,0
265,>=18446744073709551615,1,39459,10000,3779,6221,0,37.79000000,0
266,>=18446744073709551615,1,38150,10000,3710,6290,0,37.10000000,0
267,>=18446744073709551615,1,35092,10000,3753,6247,0,37.53000000,0
268,>=18446744073709551615,1,37361,10000,3720,6280,0,37.20000000,0
269,>=18446744073709551615,1,34948,10000,3729,6271,0,37.29000000,0
270,>=18446744073709551615,1,38111,10000,3753,6247,0,37.53000000,0
271,>=18446744073709551615,1,37180,10000,3757,6243,0,37.57000000,0
272,>=18446744073709551615,1,45461,10000,3696,6304,0,36.96000000,0
273,>=18446744073709551615,1,37536,10000,3780,6220,0,37.80000000,0
274,>=18446744073709551615,1,37560,10000,3787,6213,0,37.87000000,0
275,>=18446744073709551615,1,36453,10000,3709,6291,0,37.09000000,0
276,>=18446744073709551615,1,36274,10000,3714,6286,0,37.14000000,0
277,>=18446744073709551615,1,42244,10000,3766,6234,0,37.66000000,0
278,>=18446744073709551615,1,38419,10000,3747,6253,0,37.47000000,0
279,>=18446744073709551615,1,33228,10000,3710,6290,0,37.10000000,0
280,>=18446744073709551615,1,36723,10000,3713,6287,0,37.13000000,0
281,>=18446744073709551615,1,32458,10000,3675,6325,0,36.75000000,0
282,>=18446744073709551615,1,46019,10000,3705,6295,0,37.05000000,0
283,>=18446744073709551615,1,37085,10000,3747,6253,0,37.47000000,0
284,>=18446744073709551615,1,35653,10000,3754,6246,0,37.54000000,0
285,>=18446744073709551615,1,37832,10000,3707,6293,0,37.07000000,0
286,>=18446744073709551615,1,37449,10000,3794,6206,0,37.94000000,0
287,>=18446744073709551615,1,36683,10000,3700,6300,0,37.00000000,0
288,>=18446744073709551615,1,34835,10000,3693,6307,0,36.93000000,0
289,>=18446744073709551615,1,40760,10000,3723,6277,0,37.23000000,0
290,>=18446744073709551615,1,36823,10000,3750,6250,0,37.50000000,0
291,>=18446744073709551615,1,35383,10000,3730,6270,0,37.30000000,0
292,>=18446744073709551615,1,35304,10000,3770,6230,0,37.70000000,0
293,>=18446744073709551615,1,39354,10000,3741,6259,0,37.41000000,0
294,>=18446744073709551615,1,36295,10000,3766,6234,0,37.66000000,0
295,>=18446744073709551615,1,34986,10000,3693,6307,0,36.93000000,0
296,>=18446744073709551615,1,35196,10000,3767,6233,0,37.67000000,0
297,>=18446744073709551615,1,34252,10000,3767,6233,0,37.67000000,0
298,>=18446744073709551615,1,38027,10000,3763,6237,0,37.63000000,0
299,>=18446744073709551615,1,40160,10000,3731,6269,0,37.31000000,0
300,>=18446744073709551615,1,37987,10000,3786,6214,0,37.86000000,0
301,>=18446744073709551615,1,38658,10000,3751,6249,0,37.51000000,0
302,>=18446744073709551615,1,37945,10000,3717,6283,0,37.17000000,0
303,>=18446744073709551615,1,36553,10000,3736,6264,0,37.36000000,0
304,>=18446744073709551615,1,40568,10000,3737,6263,0,37.37000000,0
305,>=18446744073709551615,1,34130,10000,3839,6161,0,38.39000000,0
306,>=18446744073709551615,1,36694,10000,3774,6226,0,37.74000000,0
307,>=18446744073709551615,1,33103,10000,3758,6242,0,37.58000000,0
308,>=18446744073709551615,1,41350,10000,3689,6311,0,36.89000000,0
309,>=18446744073709551615,1,38861,10000,3762,6238,0,37.62000000,0
